id,taxonomy,kingdom,phylum,class,order,family,genus,species
OTU1941,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__
OTU19412,k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]; g__KSA1; s__,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__[Balneolaceae], g__KSA1, s__
OTU1942,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__cereus,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus, s__cereus
OTU19423,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Sva0853; f__JTB36; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Sva0853, f__JTB36, g__, s__
OTU19424,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
OTU19425,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Psychromonadaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Psychromonadaceae, g__, s__
OTU19427,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU19429,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Flammeovirgaceae, g__, s__
OTU19430,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Citrobacter; s__freundii,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Citrobacter, s__freundii
OTU19431,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Kaistobacter, s__
OTU19437,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Phyllobacteriaceae, g__, s__
OTU1944,k__Bacteria; p__Gemmatimonadetes; c__Gemm-5; o__; f__; g__; s__,k__Bacteria, p__Gemmatimonadetes, c__Gemm-5, o__, f__, g__, s__
OTU19448,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Piscirickettsiaceae, g__, s__
OTU1945,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cyclobacteriaceae, g__, s__
OTU19450,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__HTCC2188; g__HTCC; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__HTCC2188, g__HTCC, s__
OTU19458,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,k__Bacteria, p__Actinobacteria, c__MB-A2-108, o__0319-7L14, f__, g__, s__
OTU19459,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__, f__, g__, s__
OTU19464,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales,,,
OTU19465,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae,,
OTU19469,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Salinimicrobium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Salinimicrobium, s__
OTU1947,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__, g__, s__
OTU19472,k__Bacteria; p__OP11; c__WCHB1-64; o__d153; f__; g__; s__,k__Bacteria, p__OP11, c__WCHB1-64, o__d153, f__, g__, s__
OTU19476,k__Bacteria; p__OP11; c__OP11-3; o__; f__; g__; s__,k__Bacteria, p__OP11, c__OP11-3, o__, f__, g__, s__
OTU19479,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales,,,
OTU1948,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU19480,k__Bacteria; p__BRC1; c__PRR-11; o__; f__; g__; s__,k__Bacteria, p__BRC1, c__PRR-11, o__, f__, g__, s__
OTU19484,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae], g__, s__
OTU19485,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__, s__
OTU19486,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptosporangiaceae,,
OTU1949,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae,,
OTU19490,k__Bacteria; p__FBP; c__; o__; f__; g__; s__,k__Bacteria, p__FBP, c__, o__, f__, g__, s__
OTU19493,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae,,
OTU19497,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Pontibacter; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Pontibacter, s__
OTU1950,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Brumimicrobium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__Brumimicrobium, s__
OTU19501,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales,,,
OTU19502,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae; g__; s__,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__, s__
OTU19505,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae,,
OTU19506,k__Bacteria; p__BRC1; c__PRR-11; o__; f__; g__; s__,k__Bacteria, p__BRC1, c__PRR-11, o__, f__, g__, s__
OTU19508,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__; f__; g__; s__,k__Bacteria, p__Verrucomicrobia, c__Opitutae, o__, f__, g__, s__
OTU19509,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales],k__Bacteria, p__Verrucomicrobia, c__[Pedosphaerae], o__[Pedosphaerales],,,
OTU1951,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales,,,
OTU19510,k__Bacteria; p__Gemmatimonadetes; c__Gemm-2; o__; f__; g__; s__,k__Bacteria, p__Gemmatimonadetes, c__Gemm-2, o__, f__, g__, s__
OTU19512,k__Bacteria; p__Proteobacteria,k__Bacteria, p__Proteobacteria,,,,,
OTU19518,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__,k__Bacteria, p__Acidobacteria, c__Sva0725, o__Sva0725, f__, g__, s__
OTU1952,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__SBR1031, f__A4b, g__, s__
OTU19522,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Salimicrobium; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Salimicrobium, s__
OTU19523,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Cystobacterineae, g__, s__
OTU19524,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Caldilineales, f__Caldilineaceae, g__, s__
OTU19525,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylocystaceae,,
OTU1953,k__Bacteria; p__Gemmatimonadetes; c__Gemm-5; o__; f__; g__; s__,k__Bacteria, p__Gemmatimonadetes, c__Gemm-5, o__, f__, g__, s__
OTU19532,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,
OTU19534,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Flammeovirgaceae, g__, s__
OTU19535,k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae; g__Euzebya; s__,k__Bacteria, p__Actinobacteria, c__Nitriliruptoria, o__Euzebyales, f__Euzebyaceae, g__Euzebya, s__
OTU19537,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,
OTU1954,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__SBR1031, f__A4b, g__, s__
OTU19543,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__Fluviicola, s__
OTU19545,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Ancylobacter; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae, g__Ancylobacter, s__
OTU19547,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__
OTU19548,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
OTU19549,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13; g__; s__,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__koll13, g__, s__
OTU1955,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Flammeovirgaceae, g__, s__
OTU19551,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae], g__, s__
OTU19556,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Salinimicrobium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Salinimicrobium, s__
OTU1956,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
OTU19560,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU19561,k__Bacteria; p__OP3; c__PBS-25; o__; f__; g__; s__,k__Bacteria, p__OP3, c__PBS-25, o__, f__, g__, s__
OTU19562,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Caldilineales, f__Caldilineaceae, g__, s__
OTU19563,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,
OTU19565,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__guillouiae
OTU19568,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU19569,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Arthrobacter,
OTU1957,k__Bacteria; p__Chloroflexi; c__SAR202; o__; f__; g__; s__,k__Bacteria, p__Chloroflexi, c__SAR202, o__, f__, g__, s__
OTU19571,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__, s__
OTU19577,k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__Rhodothermaceae; g__Salinibacter; s__,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__Rhodothermaceae, g__Salinibacter, s__
OTU19579,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophobacteraceae, g__, s__
OTU19583,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__
OTU19584,k__Bacteria; p__Bacteroidetes,k__Bacteria, p__Bacteroidetes,,,,,
OTU19586,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae,,
OTU19587,k__Bacteria; p__OP11; c__OP11-4; o__; f__; g__; s__,k__Bacteria, p__OP11, c__OP11-4, o__, f__, g__, s__
OTU19589,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU1959,k__Bacteria,k__Bacteria,,,,,,
OTU19590,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae], g__, s__
OTU19591,k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]; g__KSA1; s__,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__[Balneolaceae], g__KSA1, s__
OTU19593,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae], g__, s__
OTU19595,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Sporolactobacillaceae; g__Scopulibacillus; s__darangshiensis,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Sporolactobacillaceae, g__Scopulibacillus, s__darangshiensis
OTU19596,k__Bacteria; p__GN02; c__GKS2-174; o__; f__; g__; s__,k__Bacteria, p__GN02, c__GKS2-174, o__, f__, g__, s__
OTU19597,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
OTU196,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
OTU1960,k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__,k__Bacteria, p__Chloroflexi, c__S085, o__, f__, g__, s__
OTU19602,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae,,
OTU19605,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae], g__, s__
OTU19606,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
OTU19608,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__Steroidobacter, s__
OTU19609,k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Nitriliruptorales; f__Nitriliruptoraceae; g__; s__,k__Bacteria, p__Actinobacteria, c__Nitriliruptoria, o__Nitriliruptorales, f__Nitriliruptoraceae, g__, s__
OTU1961,k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__; g__; s__,k__Bacteria, p__Chlamydiae, c__Chlamydiia, o__Chlamydiales, f__, g__, s__
OTU19610,k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]; g__KSA1; s__,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__[Balneolaceae], g__KSA1, s__
OTU19615,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__, s__
OTU19616,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae, g__Halomonas,
OTU19618,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae, g__Sporosarcina,
OTU1962,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,
OTU19624,k__Bacteria; p__OP3; c__PBS-25; o__; f__; g__; s__,k__Bacteria, p__OP3, c__PBS-25, o__, f__, g__, s__
OTU19625,k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__,k__Bacteria, p__Firmicutes, c__Clostridia, o__, f__, g__, s__
OTU19626,k__Bacteria,k__Bacteria,,,,,,
OTU19627,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae,,
OTU19630,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus,
OTU19632,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae,,
OTU19633,k__Bacteria; p__Chlorobi; c__OPB56; o__; f__; g__; s__,k__Bacteria, p__Chlorobi, c__OPB56, o__, f__, g__, s__
OTU19636,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Enterococcus; s__casseliflavus,k__Bacteria, p__Actinobacteria, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae, g__Enterococcus, s__casseliflavus
OTU19637,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Erythrobacteraceae, g__, s__
OTU19638,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__, s__
OTU19639,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
OTU19641,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Cystobacterineae, g__, s__
OTU19646,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__SBR1031, f__A4b, g__, s__
OTU19648,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Bdellovibrionales, f__Bdellovibrionaceae, g__, s__
OTU19649,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria,,,,
OTU1965,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__
OTU19652,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
OTU19654,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae, g__Halomonas,
OTU1966,k__Bacteria,k__Bacteria,,,,,,
OTU19660,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus,
OTU19664,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae, g__Halomonas,
OTU19667,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Gillisia; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Gillisia, s__
OTU19668,k__Bacteria,k__Bacteria,,,,,,
OTU19669,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus,
OTU1967,k__Bacteria; p__FCPU426; c__; o__; f__; g__; s__,k__Bacteria, p__FCPU426, c__, o__, f__, g__, s__
OTU19671,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Salinimicrobium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Salinimicrobium, s__
OTU19672,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae,,
OTU19674,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__
OTU19676,k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__,k__Bacteria, p__Firmicutes, c__Clostridia, o__, f__, g__, s__
OTU1968,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__,k__Bacteria, p__Verrucomicrobia, c__[Pedosphaerae], o__[Pedosphaerales], f__, g__, s__
OTU19680,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,
OTU19682,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,k__Bacteria, p__Cyanobacteria, c__, o__, f__, g__, s__
